date,description,amount
2026-01-15,Whole Foods Market,125.50
2026-01-16,Shell Gas Station,45.00
2026-01-17,Netflix Subscription,15.99
2026-01-18,Starbucks Coffee,8.50
2026-01-19,Uber Ride,22.00
2026-01-20,Amazon Purchase,89.99
2026-01-21,CVS Pharmacy,34.50
2026-01-22,Electric Bill,120.00
2026-01-23,Restaurant Dinner,67.80
2026-01-24,Gym Membership,49.99
2026-01-25,Target Shopping,156.30
2026-01-26,Movie Theater,28.00
2026-01-27,Grocery Store,98.75
2026-01-28,Internet Bill,79.99
2026-01-29,Doctor Visit,150.00
2026-01-30,Gas Station,52.00
2026-02-01,Rent Payment,1500.00
2026-02-02,Coffee Shop,12.50
2026-02-03,Uber Eats,35.60
2026-02-04,Bookstore,45.00
2026-02-05,Grocery Shopping,87.25
2026-02-06,Gas Station,48.00
2026-02-07,Restaurant Lunch,34.50
2026-02-08,Amazon Order,156.80
2026-02-09,Pharmacy,28.99
2026-02-10,Movie Tickets,32.00
2026-02-11,Coffee Shop,15.75
2026-02-12,Uber Ride,18.50
2026-02-13,Grocery Store,112.40
2026-02-14,Valentine Dinner,145.00
